date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:06	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263cf03be-239b%22	https://gudlyf2jef.github.io/robots.txt		(from )
00:44:06	7851/7851	---M-Z	200	added ('OK')	text/html	etag:W/%22636fe20d-1eab%22	https://gudlyf2jef.github.io/Francisportfolio/	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/index.html	(from )
00:44:06	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:07	9144/9144	---M-Z	200	added ('OK')	text/css	etag:W/%22636fe20d-23b8%22	https://gudlyf2jef.github.io/Francisportfolio/css/style.css	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/css/style.css	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:07	63505/63505	---M--	200	added ('OK')	image/png	etag:%22636fe20d-f811%22	https://gudlyf2jef.github.io/Francisportfolio/image/user-img.png	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/image/user-img.png	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:07	10589/10589	---M--	200	added ('OK')	image/jpeg	etag:%22636fe20d-295d%22	https://gudlyf2jef.github.io/Francisportfolio/image/img-1.jpg	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/image/img-1.jpg	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:08	43166/43166	---M--	200	added ('OK')	image/jpeg	etag:%22636fe20d-a89e%22	https://gudlyf2jef.github.io/Francisportfolio/image/img-2.jpg	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/image/img-2.jpg	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:08	31080/31080	---M--	200	added ('OK')	image/jpeg	etag:%22636fe20d-7968%22	https://gudlyf2jef.github.io/Francisportfolio/image/img-3.jpg	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/image/img-3.jpg	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:08	21591/21591	---M--	200	added ('OK')	image/jpeg	etag:%22636fe20d-5457%22	https://gudlyf2jef.github.io/Francisportfolio/image/img-4.jpg	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/image/img-4.jpg	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:08	21872/21872	---M--	200	added ('OK')	image/jpeg	etag:%22636fe20d-5570%22	https://gudlyf2jef.github.io/Francisportfolio/image/img-5.jpg	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/image/img-5.jpg	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:09	38083/38083	---M--	200	added ('OK')	image/jpeg	etag:%22636fe20d-94c3%22	https://gudlyf2jef.github.io/Francisportfolio/image/img-6.jpg	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/image/img-6.jpg	(from https://gudlyf2jef.github.io/Francisportfolio/)
00:44:09	609/609	---M-Z	200	added ('OK')	application/javascript	etag:W/%22636fe20d-261%22	https://gudlyf2jef.github.io/Francisportfolio/js/script.js	C:/My%20Web%20Sites/Adejumo%20Oreoluwa/gudlyf2jef.github.io/Francisportfolio/js/script.js	(from https://gudlyf2jef.github.io/Francisportfolio/)
